序号,名称,总成本,利润,粮食产量约束,化肥约束,劳动力,农业机械约束,土地约束,粪便使用量,粪便产出量
1,小麦,990.18,105.39,1095.57,201,366.68,154.44,0,0,0
2,玉米,995.68,-77.32,918.36,198,418.39,116.77,0,0,0
3,高粱,0,0,0,0,0,0,0,0,0
4,谷子,0,0,0,0,0,0,0,0,0
5,甘薯,0,0,0,0,0,0,0,0,0
6,棉花,2492.42,-1277.06,0,156.18,1782.3,90,0,14.58,0
7,花生,1509.2,238.54,0,175.86,781.56,94,0,14.97,0
8,芝麻,0,0,0,0,0,0,0,0,0
9,绿豆,0,0,0,0,0,0,0,0,0
10,烟草,3199.49,563.98,0,333.48,1903.2,,0,32.39,0
11,苹果,7360.59,3521.04,0,1447.27,4403.1,,0,61.3,0
12,梨,0,0,0,0,0,0,0,0,0
13,桃,0,0,0,0,0,0,0,0,0
14,葡萄,0,0,0,0,0,0,0,0,0
15,柿,0,0,0,0,0,0,0,0,0
16,冬枣,0,0,0,0,0,0,0,0,0
17,红枣,0,0,0,0,0,0,0,0,0
18,西瓜,0,0,0,0,0,0,0,0,0
19,香瓜,0,0,0,0,0,0,0,0,0
20,猪,1626.9,4581.66,0,0,203.58,0,0.00165,0,208.56
21,牛,0,0,0,0,0,0,0.0075,0,0
22,羊,1782.92,-491.84,0,,569.4,0,0.003,0,91.08
23,驴,0,0,0,,0,0,0.00675,0,0
24,肉鸡,2559.84,811.05,0,0,313.56,0,0.015,0,1004.74
25,蛋鸡,13352.12,2736.04,0,0,1462.5,0,0.015,0,529.76
26,萝卜,3618.3,73.11,0,341.76,1102.92,112,0,556.37,0
27,圆白菜,1963.82,1824.18,0,365.44,1082.64,58.3,0,52.86,0
28,大白菜,1894.07,324.7,0,225.78,1000.74,132,0,57.5,0
29,胡萝卜,0,0,0,,0,0,0,0,0
30,芹菜,0,0,0,,0,0,0,0,0
31,番茄,9273.18,3199.34,0,400.8,5499,80.4,0,152.51,0
32,茄子,4067.96,0,0,372.27,2596.14,66.62,0,187.14,0
33,辣椒,6542.54,3762.45,0,379.15,4831.8,47.6,0,258.33,0
34,黄瓜,8701.92,5000.25,0,822.05,4169.36,92.56,0,740.12,0
35,西葫芦,0,0,0,,0,0,0,0,0
36,南瓜,0,0,0,,0,0,0,0,0
37,豆角,2691.43,2396.22,0,196.67,1496.04,58.1,0,244.58,0
38,韭菜,0,0,0,,0,0,0,0,0
39,大葱,0,0,0,,0,0,0,0,0
40,莴苣,0,0,0,,0,0,0,0,0
41,菜花,2731.38,221.83,0,226,1588.04,80.24,0,0,0
42,甜菜,1086.09,313.5,0,109,389.22,,0,0,0
43,土豆,2568.76,1915.8,0,341.63,1161,61.1,0,154.97,0
44,油菜籽,662.9,-101.87,0,88.2,303.5,65.25,0,3.18,0